Date,Season,Days,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
5/3/2015,2,7,3234,8277,4249,2504,1478,1658,2642,3669,4378,6338,7622,7737,8464,9509,9117,9102,9656,9119,9158,8574,7827,6420,5173,3523
5/4/2015,2,1,2240,1360,1089,1210,2078,5156,8468,10648,9255,8347,7922,8671,9021,9506,9975,11507,12700,12555,9767,7514,6472,5643,4592,3397
5/5/2015,2,2,2072,1461,1113,1309,2039,5096,8629,10549,9044,8964,7845,8512,9193,9275,10398,11914,13114,12956,10399,8113,6974,6258,5603,4073
5/6/2015,2,3,2596,1822,1434,1410,2113,5096,8712,10555,9491,8500,8017,8194,8817,9318,10385,11796,13171,13108,10441,8392,7637,6648,5489,3696
5/7/2015,2,4,2414,1562,1374,1392,2034,5131,8771,10675,9721,8969,8380,8697,9315,9790,10542,11624,12816,12712,10930,8784,7761,6467,5626,3981
5/8/2015,2,5,2589,1765,1485,1493,2187,4968,8693,10600,9683,8231,9000,9577,10625,11110,11676,12817,13132,12287,10540,9324,8470,7461,6585,5668
5/9/2015,2,6,4048,2805,2282,1993,1762,2290,4045,5237,6557,8223,8808,8742,9062,9753,9346,9778,9058,9292,8822,8433,8196,7381,7093,6086
5/10/2015,2,7,4251,3045,2328,1932,1173,1425,2427,3381,4389,6374,8175,8343,9287,9916,10040,9508,9258,8883,9146,9470,8935,7370,5834,3964
5/11/2015,2,1,2374,1437,1122,1241,2110,5171,8600,10390,9437,8079,7846,8201,8802,9216,10010,11154,12855,12582,9549,7446,6347,5309,4461,3327
5/12/2015,2,2,2025,1528,1162,1273,1977,5119,8717,10490,9519,8446,7721,8061,8602,9271,10185,11247,12505,13044,10352,7752,6830,5828,4776,3289
5/13/2015,2,3,2128,1457,1231,1342,2055,5289,8660,10394,9598,8673,7963,8238,8788,9345,10233,11676,12967,13001,10763,8237,7436,6212,5262,4086
5/14/2015,2,4,2391,1619,1500,1426,2114,5211,8669,10653,9696,9042,8133,8608,8981,9668,10379,11860,13038,13058,10275,8202,7385,6413,5943,3997
5/15/2015,2,5,2592,1769,1529,1534,2153,4866,8568,10793,9867,8927,8912,9576,9814,10457,11648,12678,13210,13149,10738,9168,8311,7007,6150,5236
5/16/2015,2,6,4057,2871,2307,2199,1758,2462,4355,5889,6599,6891,6795,7190,7083,7266,7159,7194,7074,7149,6563,7038,6715,6286,5926,5262
5/17/2015,2,7,4325,3074,2540,2202,1457,1793,3154,3842,4520,6217,7408,7410,8293,8543,8372,8272,6863,7398,7256,6799,6418,5731,4728,3604
5/18/2015,2,1,2341,1341,1091,1218,2160,5394,8866,10404,9784,8038,8040,8515,8832,9068,10509,11780,12685,10292,9020,7090,5573,5028,4146,3161
5/19/2015,2,2,2060,1318,1166,1249,2009,5114,8614,10158,9810,7998,7870,8381,8824,9162,10395,11762,12881,12166,10053,7846,6870,6180,5053,3571
5/20/2015,2,3,2327,1641,1470,1555,2353,5289,8746,10640,9404,8288,7758,8298,8719,8911,10207,11763,12624,12691,10334,8467,7252,6198,5083,4624
5/21/2015,2,4,2562,1657,1371,1371,2076,5117,8367,9790,10417,8762,8503,8640,9273,9999,10634,12018,13086,12934,10999,9153,8157,7266,6274,4359
5/22/2015,2,5,2994,1881,1522,1537,2114,4803,8401,9930,9383,8667,8851,9468,10251,10618,11802,13183,13103,12192,10377,9510,8481,7561,7395,6714
5/23/2015,2,6,4535,3020,2371,2022,1687,2277,3759,4868,6347,7747,8444,9018,9534,10018,10196,10404,9785,9461,9185,8806,8725,8238,7639,6224
5/24/2015,2,7,4645,3147,2421,2050,1410,1445,2455,3390,4143,6136,7908,7730,8381,10035,9499,9534,9073,8494,8096,7463,7468,6918,6382,5218
5/25/2015,2,1,3625,2257,1579,1273,1302,1680,2475,2775,3282,4364,5317,6343,7356,8143,8680,8675,7901,7565,6936,7035,5367,5124,4655,3312
5/26/2015,2,2,2131,1443,1090,1171,1988,5066,8125,9737,8789,7954,7816,8272,8639,9294,9875,11056,11231,10078,8546,6633,5404,4468,4116,3127
5/27/2015,2,3,2019,1510,1216,1239,2004,4965,7922,9990,9013,8077,7643,8089,8631,9357,10106,11270,12630,12445,9906,8138,7011,6164,4574,3872
5/28/2015,2,4,2305,1515,1217,1306,2019,4960,8276,9873,9256,8495,8318,8611,9291,9592,10105,11367,12240,11921,9982,7734,6764,5911,4800,3773
5/29/2015,2,5,2507,1617,1442,1456,2074,4895,8123,9406,9136,8471,9076,9066,9563,10299,10972,12417,13031,12045,10599,9356,8530,7810,7090,5768
5/30/2015,2,6,4092,2918,2380,2204,1835,2379,4112,5240,6445,7875,8242,8817,9456,9429,9498,9450,9574,8264,8410,8044,8027,7449,6908,5777
5/31/2015,2,7,4185,3176,2411,2039,1322,1622,2562,3487,4429,6495,7880,7947,8106,8500,8689,8212,7753,7358,7435,6996,6372,5452,4477,3517
6/1/2015,2,1,2229,1393,1134,1177,2132,5053,8010,9739,9201,8148,8244,8386,8932,9242,9718,11444,12399,12411,9609,7584,6231,5440,4471,3269
6/2/2015,2,2,2110,1504,1185,1253,2043,5077,8418,9809,9910,8245,8255,8388,9190,9412,10035,11506,12652,12520,9865,7908,7042,5884,4922,3593
6/3/2015,2,3,2310,1457,1274,1299,2093,5171,8416,10549,9725,8619,8263,8766,9179,9636,10195,11826,12777,11074,10212,7875,6670,6090,4861,3725
6/4/2015,2,4,2222,1559,1368,1447,2068,4918,7987,10295,9569,8803,8185,8768,9366,9622,10410,11840,12710,12688,9883,8190,7798,6464,5115,4022
6/5/2015,2,5,3121,1956,1748,1638,2142,4958,8060,9681,9589,8834,8849,9341,9623,10363,10964,12501,13289,13100,10927,9427,8752,7919,7073,5859
6/6/2015,2,6,4106,2818,2430,2094,1671,2316,3996,5059,6261,7975,8804,9242,9690,9955,10377,10199,9846,9438,8809,8646,8320,8075,7530,6304
6/7/2015,2,7,4390,3025,2694,2106,1388,1606,2698,3554,4493,6415,8269,7845,8509,10293,9882,9029,9152,8806,8520,8285,6927,5606,4472,4121
6/8/2015,2,1,2531,1578,1153,1229,2064,5167,8324,9876,9656,8399,7944,8373,8767,9078,10008,11279,12343,11922,9660,7574,6610,5764,4806,3432
6/9/2015,2,2,2002,1434,1129,1248,1988,4961,8310,10026,9681,8320,8289,8296,8932,9606,9766,10133,11939,12707,10280,7727,6643,5329,4325,3577
